time,surfconc,burden,atmprod,atmloss,emis,wetdep,soilsink,lifetime,atmlifetime
2020,1.445445958899239e-09,3.5149256603670835,39.50693878162813,147.3059222247662,159.34991367857538,11.936358710241256,39.95918497163228,6.440453940410599,8.709411316650286
2021,1.492298437309611e-09,3.6560422296321184,39.69234435559734,152.28808980422602,165.89138868918198,12.069367406067837,40.99879060023924,6.498245989802686,8.76270373823214
2022,1.4454290197550557e-09,3.515195429125722,39.47840016784033,147.27713391113656,159.34991367857538,11.906872902843755,39.87168402613106,6.445665161421972,8.711782321925462
2023,1.492282398610777e-09,3.6561819681037964,39.6743621041334,152.27010092026637,165.89138868918198,12.069331146304496,40.99887326627553,6.499062199791199,8.76407390743556
2024,,,,,159.34991367857538,11.936375018002147,39.95954427807723,,
2025,,,,,165.89138868918198,12.069246086005101,40.99877584100456,,
2026,,,,,159.34991367857538,11.906724439714372,39.8715431478891,,
2027,,,,,165.89138868918198,12.06919224071263,40.9987015752292,,
2028,,,,,159.34991367857538,11.936245895466293,39.95935665293366,,
2029,,,,,165.89138868918198,12.06916283713099,40.99866124359787,,
2030,,,,,159.34991367857538,11.906648052179818,39.87141783676005,,
2031,,,,,165.89138868918198,12.069135552883996,40.99860986163004,,
2032,,,,,159.34991367857538,11.936198847959208,39.95927436407863,,
2033,,,,,165.89138868918198,12.06913322504052,40.99861253986324,,
2034,,,,,159.34991367857538,11.906629916470074,39.87139211102321,,
2035,,,,,165.89138868918198,12.069131300990644,40.998610132075406,,
2036,,,,,159.34991367857538,11.936190032254025,39.95925797360127,,
2037,,,,,165.87450153058347,12.067807428816845,40.994814306945365,,
2038,,,,,159.34991367857538,11.906623430388969,39.87138323641486,,
2039,,,,,165.89138868918198,12.06912981041807,40.998608920836766,,
