time,surfconc,burden,atmprod,atmloss,emis,wetdep,soilsink,lifetime,atmlifetime
2009,1.6176507816438356e-09,2.709579447123288,55.61742527558412,98.84515787845714,112.85833715892153,31.65795304293551,37.74912884992685,5.878058440970518,10.005512858971795
2010,1.6198572457534247e-09,2.7317375553424657,56.57854209103077,99.4324934393082,112.85833715892153,31.92590297925318,37.842278762012796,5.8929091543866035,10.027750217373379
2011,1.6193914561643836e-09,2.7335608452054796,56.565788953752865,99.4624603407323,112.85833715892153,31.912142612167514,37.8264693171589,5.89682851954691,10.031419945595264
2012,1.6188385156164384e-09,2.7337550802739727,56.725861032101925,99.70633241916914,113.08897906819203,31.983856769618487,37.89923115476398,5.88374323279501,10.007595105445509
2013,1.6178343309589042e-09,2.734647379178082,56.500655400029295,99.47124469967359,112.85833715892153,31.889629595483846,37.77585412777631,5.9014165799878295,10.034520995626742
2014,1.6163862054794523e-09,2.7338327668493148,56.39102130817555,99.41219050301123,112.85833715892153,31.87529581233875,37.74335728872091,5.903354314655789,10.037490923910129
2015,1.6162029468493151e-09,2.734154824931507,56.42392484754125,99.45335908485724,112.85833715892153,31.862669614008766,37.744784855440905,5.903003127211536,10.034517891431888
2016,1.6160644808219177e-09,2.7352818816438353,56.56412825110067,99.66631631935648,113.08897906819203,31.939642318466376,37.82021664359447,5.892701556543384,10.017204645157554
2017,1.615642110958904e-09,2.735453740821918,56.425712011176174,99.46859655123723,112.85833715892153,31.867748418471617,37.72829031999212,5.905673967173092,10.037747088204807
2018,1.6146867383561643e-09,2.73667775260274,56.43490114069033,99.50971425778636,112.85833715892153,31.845795074691253,37.71543018458149,5.908096226076825,10.038089116730028
2019,1.6140460747945205e-09,2.7378400747945206,56.42785139127972,99.51547175829619,112.85833715892153,31.850051252644747,37.698288440858256,5.91085471644479,10.041771491845353
2020,1.6139611016438356e-09,2.7388675684931507,56.574726655107625,99.74801155218536,113.08897906819203,31.916795176769828,37.77276799203396,5.900029342052211,10.022121212681938
2021,1.6126803202739726e-09,2.739316792328767,56.45244006784628,99.56805429635348,112.85833715892153,31.85120631489577,37.67045594194156,5.913136822164319,10.04188176886588
2022,1.6114544435616439e-09,2.740414535890411,56.46332664959842,99.60856434771836,112.85833715892153,31.834324300908435,37.656071399021826,5.915183069831711,10.041820320873963
2023,1.6111369167123287e-09,2.741606550136986,56.46737091872932,99.63455507998218,112.85833715892153,31.831043939719038,37.63765940310687,5.917605610519866,10.043567615639912
2024,1.6102252224657534e-09,2.742341316712329,56.62693103664491,99.88795794670379,113.08897906819203,31.899181078971054,37.70458378579626,5.905625147921714,10.020773286145957
2025,1.6095036312328766e-09,2.743251423561644,56.48942018502257,99.6856529343278,112.85833715892153,31.832510178842867,37.607361493855855,5.9203764300306,10.044442105020273
2026,1.6098110323287672e-09,2.7441579298630137,56.476009416012936,99.67836054934098,112.85833715892153,31.832034680019195,37.60075903277663,5.922836070572888,10.048496372532105
2027,1.6083295465753424e-09,2.745758591232877,56.47619545077841,99.71445277781078,112.85833715892153,31.820526387074338,37.57783197464444,5.926232785363111,10.050718405216156
2028,1.6078911021917807e-09,2.7466275375342466,56.626317877554925,99.95820141508051,113.08897906819203,31.880030482294217,37.6512811115952,5.914932631536581,10.029382652024708
2029,1.6074318402739726e-09,2.74755521260274,56.48594747775648,99.74733743653931,112.85833715892153,31.81461965208611,37.56124325218932,5.9297461884534775,10.053979167494395
