time,surfconc,burden,atmloss,atmlifetime
2009,1.856227780547945e-06,5065.6623717808225,,
2010,1.856226840547945e-06,5065.875279452055,,
2011,1.856226653150685e-06,5066.034770410959,,
2012,1.8562242942465753e-06,5066.164293150685,,
2013,1.8562233630136987e-06,5066.273235342465,,
2014,1.856222093150685e-06,5066.325764657534,,
2015,1.8562214057534247e-06,5066.383683287671,,
2016,1.8562212616438357e-06,5066.552140273972,,
2017,1.8562201791780823e-06,5066.762798904109,,
2018,1.8562189208219177e-06,5066.961709863014,,
2019,1.8562183038356166e-06,5067.19759150685,,
2020,1.856216764657534e-06,5067.425390958904,,
2021,1.8562152709589042e-06,5067.68371890411,,
2022,1.8562130619178082e-06,5067.957312328767,,
2023,1.8562115276712329e-06,5068.125635342466,,
2024,1.856210180821918e-06,5068.331696712329,,
2025,1.8562091717808221e-06,5068.536403013699,,
2026,1.8562081901369864e-06,5068.783203561644,,
2027,1.8562069473972604e-06,5069.021798904109,,
2028,1.8562062232876712e-06,5069.346795616438,,
2029,1.8562044194520547e-06,5069.6305189041095,,
