time,surfconc,burden,atmloss,atmlifetime
2020,1.866556156163007e-06,5132.399329668444,649.9167668595966,7.897010188655759
2021,1.8665577179103117e-06,5132.795333375137,653.2293343039511,7.857570173030258
2022,1.8665561561238936e-06,5132.600558940892,649.7405757493676,7.899461339660513
2023,1.8665577179316463e-06,5132.904119349069,653.1257840163255,7.8589825190866565
2024,1.866556156058939e-06,5132.658926755379,649.678342681884,7.90030787476718
2025,1.866557717771377e-06,5132.933673468858,653.0886382028144,7.859474768377218
2026,1.8665561560649495e-06,5132.673526796349,649.654977456735,7.900614487538763
2027,1.8665577177813723e-06,5132.940295495831,653.0736151994049,7.859665703886346
2028,1.866556156033564e-06,5132.676177098941,649.6448983267608,7.900741143844538
2029,1.8665577177968571e-06,5132.94088975353,653.0679557160528,7.859734725654309
2030,1.8665561560351786e-06,5132.6758809057865,649.6417307570143,7.900779210911811
2031,1.8665577178215528e-06,5132.9403729746155,653.0649752772024,7.8597698043688045
2032,1.8665561560260766e-06,5132.6752586831035,649.6391094252231,7.900810133220438
2033,1.8665577178281493e-06,5132.939810160444,653.0634271540607,7.859787574583562
2034,1.8665561560363545e-06,5132.674830381818,649.6388649780932,7.9008124468583
2035,1.8665577177857144e-06,5132.939524789,653.0628370881336,7.859794239212371
2036,1.8665561560317735e-06,5132.674641886288,649.6378389750448,7.9008246348215785
2037,1.8665577177264026e-06,5132.9370371409905,653.0950598270803,7.859402639640294
2038,1.8665561560478949e-06,5132.674351309082,649.6387993644543,7.900812507397049
2039,1.8665577177903902e-06,5132.939192535116,653.0626583078123,7.85979588212158
