time,surfconc,burden,atmloss,atmlifetime
2020,1.8665807926027398e-06,5133.4478652054795,590.2239451964022,8.697457815774113
2021,1.8665806652054795e-06,5134.765824109589,588.973154579615,8.718166157801496
2022,1.8665806652054795e-06,5135.429143835617,589.294431412856,8.714538726461793
2023,1.8665806652054795e-06,5135.826484109589,589.2902033097536,8.71527552174493
2024,1.8665806652054795e-06,5136.0165769863015,588.3691202033198,8.72924224033286
2025,1.8665806652054795e-06,5135.9529249315065,588.3180022433812,8.729892516202172
2026,1.8665806652054795e-06,5136.119487945205,588.9295476818697,8.721110204373128
2027,1.8665806652054795e-06,5135.937215068493,589.515606927843,8.712131035569232
2028,1.8665806652054795e-06,5136.29724630137,587.4426653298768,8.743486895724702
2029,1.8665806652054795e-06,5135.831910410959,588.3346148940589,8.729440322554819
2030,1.8665806652054795e-06,5136.060975890411,589.249445050968,8.716276305438285
2031,1.8665806652054795e-06,5136.293556438356,589.0169386505979,8.720111798830935
2032,1.8665806652054795e-06,5135.933389589041,588.3513973998063,8.729363799061375
2033,1.8665806652054795e-06,5136.217931232877,587.9354383228483,8.73602371356371
2034,1.8665806652054795e-06,5136.117141643836,588.8777620133377,8.721873150862004
2035,1.8665806652054795e-06,5136.114279452055,588.5010957231334,8.727450665390764
2036,1.8665806652054795e-06,5136.1654860273975,588.2285013923293,8.731582155353165
2037,1.8665806652054795e-06,5136.109075342466,588.4504945018786,8.728192300509775
2038,1.8665806652054795e-06,5136.386865479451,588.4923710938365,8.728043247072854
2039,1.8665806652054795e-06,5136.370948219178,589.6813490047293,8.710417850061566
2040,1.8665806652054795e-06,5136.163630958904,589.2789184722717,8.716014556018067
2041,1.8665806652054795e-06,5136.11731260274,588.7534222504376,8.723715427369514
2042,1.8665806652054795e-06,5136.181524931507,588.8885046679276,8.721823374405625
2043,1.8665806652054795e-06,5136.2122378082195,588.926926051174,8.721306516323072
2044,1.8665806652054795e-06,5136.221242191781,588.81515131066,8.72297737372913
2045,1.8665806652054795e-06,5136.053561643836,588.8188640994026,8.72263759670713
2046,1.8665806652054795e-06,5136.099010410959,589.2672281530826,8.716077808210775
2047,1.8665806652054795e-06,5136.194004657534,588.6858756330098,8.72484667503636
2048,1.8665806652054795e-06,5136.387453150685,588.3336792071061,8.730398470597443
2049,1.8665806652054795e-06,5136.407216712329,587.6535003260262,8.740537091777185
2050,1.8665806652054795e-06,5135.883624657535,589.2160459108885,8.716469383853596
2051,1.8665806652054795e-06,5135.94569890411,589.183042592939,8.717062996757845
2052,1.8665806652054795e-06,5136.345104931506,588.1671304197281,8.732798620123681
2053,1.8665806652054795e-06,5135.89550849315,588.9411479665148,8.720558117269062
2054,1.8665806652054795e-06,5136.522166575342,588.6497777344689,8.725939193155273
2055,1.8665806652054795e-06,5136.400242191781,588.9007148866433,8.72201393605114
2056,1.8665806652054795e-06,5136.165589589042,588.2383104557806,8.731436729459906
2057,1.8665806652054795e-06,5136.202013698629,588.2451486822702,8.731397148288009
2058,1.8665806652054795e-06,5135.965900547945,589.2913187325365,8.715495608512471
2059,1.8665806652054795e-06,5135.7739123287665,589.6273123587922,8.710203555163018
2060,1.8665806652054795e-06,5135.765709589041,589.1019763881791,8.71795701837013
2061,1.8665806652054795e-06,5136.028506849315,588.3880151569184,8.728982192948946
2062,1.8665806652054795e-06,5135.878574246575,588.8523295718387,8.721844707621232
2063,1.8665806652054795e-06,5135.955867397261,588.0812912345677,8.733411424490775
2064,1.8665806652054795e-06,5135.572135890411,587.9955465933045,8.734032367497678
2065,1.8665806652054795e-06,5135.7768638356165,588.3717043408894,8.728796483489733
2066,1.8665806652054795e-06,5135.32468630137,588.1066440367973,8.73196169159425
2067,1.8665806652054795e-06,5135.577915616439,589.1936522951598,8.716281812628461
2068,1.8665806652054795e-06,5135.903256712329,588.4049589965774,8.72851796740585
2069,1.8665806652054795e-06,5136.0629580821915,588.822432798453,8.72260068909468
2070,1.8665806652054795e-06,5136.201411780822,588.2907815249082,8.730718843608729
2071,1.8665806652054795e-06,5136.270458356164,588.2807064997687,8.730985737942408
2072,1.8665806652054795e-06,5136.406378630137,588.281000793628,8.731212416686587
2073,1.8665806652054795e-06,5136.10882739726,588.3761850316611,8.729294213566583
2074,1.8665806652054795e-06,5136.192209041095,587.9015399870641,8.736483679144827
2075,1.8665806652054795e-06,5136.307523013698,587.4444738767685,8.74347747135531
