time,surfconc,burden,atmloss,atmlifetime
2009,1.8562276772602738e-06,5065.580082191781,549.8275715016449,9.213033948728826
2010,1.8562266684931505e-06,5065.838209863014,551.6600393218426,9.182898612867563
2011,1.8562267150684931e-06,5066.038329315068,551.6728458705425,9.183048191035821
2012,1.8562243194520548e-06,5066.195903287671,553.2237047533959,9.15759006665481
2013,1.8562233912328766e-06,5066.320699178083,551.5187112844881,9.18612659102465
2014,1.8562222008219178e-06,5066.381346301369,551.3561696303863,9.188944688326838
2015,1.8562215372602742e-06,5066.443893150685,551.4428061575005,9.187614448094969
2016,1.856221509589041e-06,5066.614267945205,552.6975626525,9.167064612388675
2017,1.8562200953424659e-06,5066.825982191781,551.3185288642392,9.190378550544732
2018,1.8562191123287671e-06,5067.0253999999995,551.2853890606883,9.191292750626836
2019,1.8562183265753424e-06,5067.261417260274,551.1578901761495,9.193847185315233
2020,1.8562168865753424e-06,5067.489106849315,552.4732761401759,9.17236964338447
2021,1.8562152501369861e-06,5067.747483835617,551.1982364602806,9.194056055730504
2022,1.856213225479452e-06,5068.020947945205,551.2289619197261,9.19403967871203
2023,1.85621158e-06,5068.188991232877,551.1834283079352,9.195104081397348
2024,1.8562103071232879e-06,5068.395209041096,552.7082168951032,9.170110112553314
2025,1.8562092597260274e-06,5068.59971780822,551.2556435895308,9.19464458414205
2026,1.8562087235616437e-06,5068.846338082191,551.0728947618986,9.19814127361913
2027,1.856207272328767e-06,5069.084982191781,550.9939606806712,9.199892093063378
2028,1.856206241917808e-06,5069.410281643835,552.3641165459107,9.177660405140532
2029,1.856204410958904e-06,5069.6938199999995,550.9429179651947,9.201849510515483
